story_id,comment_id,parent_id,text,author,rating,post_url,post_title
14059469,395369294,0,,Salyakin,,https://pikabu.ru/story/otvet_na_post_ostalos_tolko_teoriyu_po_biletam_sdat_i_vsyo_14059469,Ответ на пост «Осталось только теорию по билетам сдать и всё...»
14059469,395366699,0,,FebruaryDownpou,,https://pikabu.ru/story/otvet_na_post_ostalos_tolko_teoriyu_po_biletam_sdat_i_vsyo_14059469,Ответ на пост «Осталось только теорию по билетам сдать и всё...»
14059469,395366473,0,,UltraMartyn,0,https://pikabu.ru/story/otvet_na_post_ostalos_tolko_teoriyu_po_biletam_sdat_i_vsyo_14059469,Ответ на пост «Осталось только теорию по билетам сдать и всё...»
14059466,395366193,0,Камызяки: - Let's go!,HappyLesnik86,1,https://pikabu.ru/story/kamyizyakskiy_tornado_14059466,Камызякский торнадо
14059465,395370035,0,убери ИИ картинки. мало фото что ли в нете,COL15,,https://pikabu.ru/story/arkticheskie_tanki_karelskogo_fronta_kak_oleni_spasali_boytsov_v_zapolyare_14059465,Арктические «танки» Карельского фронта: как олени спасали бойцов в Заполярье
14059465,395365722,0,"Ребята, спасибо за внимание к посту! Я не ради рекламы, просто искренне горю темой Карельского фронта. Сам родился в Северной Карелии, в небольшом поселке Чупа Лоухского района, и люблю свой край всем сердцем! Если у кого-то есть деды, воевавшие там, делитесь историями в комментах, очень интересно почитать! Заранее спасибо за поддержку!",NorthKarel,0,https://pikabu.ru/story/arkticheskie_tanki_karelskogo_fronta_kak_oleni_spasali_boytsov_v_zapolyare_14059465,Арктические «танки» Карельского фронта: как олени спасали бойцов в Заполярье
14059464,395365639,0,Ндаа... оттуда ещё и постучали.,Waleg8,4,https://pikabu.ru/story/avito_yeto_prikol_14059464,"Авито, это прикол?"
14059464,395369017,0,"Только что зашёл поверить, у меня такого нет. пока нет...",bredmaker,,https://pikabu.ru/story/avito_yeto_prikol_14059464,"Авито, это прикол?"
14059464,395368276,0,"Смотрю их очень интересует документы и биометрия. Какая-то частная лавочка, обычная барахолка, слишком дохуя себе позволять начала.",user11897108,,https://pikabu.ru/story/avito_yeto_prikol_14059464,"Авито, это прикол?"
14059464,395367544,0,"Прикинь, при продаже за самовывоз тоже надбавка, не только за доставку. Вот этого я не понимаю",joshkinkot76,,https://pikabu.ru/story/avito_yeto_prikol_14059464,"Авито, это прикол?"
14059464,395367157,0,"А на автору - бесплатно? Может тогда, ну её нах, авито это, контору пи...расов?",user6598118,,https://pikabu.ru/story/avito_yeto_prikol_14059464,"Авито, это прикол?"
14059464,395365462,0,Однако!..,Bulgakov50,0,https://pikabu.ru/story/avito_yeto_prikol_14059464,"Авито, это прикол?"
14059462,395366195,0,,SandaiKitetsu,2,https://pikabu.ru/story/laufey_14059462,Laufey
14059460,395365600,0,"Простите, а можно узреть фотооригинал этого божественного создания? И, разумеется, если можно, то и Художника?",Xanthippe,1,https://pikabu.ru/story/every_night_in_my_dreams_i_see_you_i_feel_you_14059460,"Every night in my dreams I see you, I feel you..."
14059502,395366774,0,"Давным-давно в каком-то колхозе засел в грязи на девятке. Проезжающий мимо джигит предложил помощь и привязал машину к хвосту своей лошади. Тащил, тащил, не вытащил. Пришлось искать трактор.",Parschivets,,https://pikabu.ru/story/plyus_dve_loshadinyie_silyi_14059502,Плюс две лошадиные силы
14059501,395367353,0,так вот где они гнездятся и выводят потомство .,FebruaryDownpou,,https://pikabu.ru/story/vecher_v_bare_14059501,Вечер в баре
14059501,395367249,0,Жаль пианино был закрыт. Так и слышится звуки завершающегося аккорда,m.snow,,https://pikabu.ru/story/vecher_v_bare_14059501,Вечер в баре
14059499,395366902,0,,axis76,,https://pikabu.ru/story/klassika_vsegda_aktualna_14059499,Классика всегда актуальна
14059499,395366705,0,Только ничего не изменится.,yngern,,https://pikabu.ru/story/klassika_vsegda_aktualna_14059499,Классика всегда актуальна
14059497,395367822,0,"Расходиться обиженными спасибами, это мы умеем, можем, практикуем",Dust.In.The.Wind,,https://pikabu.ru/story/i_vsyo_lilsya_svetopad_na_gorod_14059497,И всё лился светопад на город
14059497,395368056,0,Белые ночи - это романтика!,user8366694,,https://pikabu.ru/story/i_vsyo_lilsya_svetopad_na_gorod_14059497,И всё лился светопад на город
14059497,395370006,0,"Летучих козлов, это точно.",Strmbrd,,https://pikabu.ru/story/i_vsyo_lilsya_svetopad_na_gorod_14059497,И всё лился светопад на город
14059497,395369490,0,"Как я люблю читать Ваши истории с удивительным словообразованием. Всё понятно и, в то же время, очаровательно своей инакостью и футуристичностью",user6247870,,https://pikabu.ru/story/i_vsyo_lilsya_svetopad_na_gorod_14059497,И всё лился светопад на город
