post_id,url,title,rating,author,published,tags,source
14059469,https://pikabu.ru/story/otvet_na_post_ostalos_tolko_teoriyu_po_biletam_sdat_i_vsyo_14059469,Ответ на пост «Осталось только теорию по билетам сдать и всё...»,,DeadPuckHome,2026-06-13T18:20:03+03:00,"Симулятор вождения,Грузовик,ДТП,Лобовое столкновение,Девушки,Видео,Вертикальное видео,Короткие видео,Дальнобойщики,Ответ на пост",search:брейнрот
14059468,https://pikabu.ru/story/_smena_subordinatsionnogo_polozheniya__14059468,""" Смена субординационного положения """,,Nik1307,2026-06-13T18:19:23+03:00,"[моё],Современная поэзия,Постмодернизм,Сюрреализм,Текст",search:брейнрот
14059467,https://pikabu.ru/story/28_nakhodok_s_aliexpress_mimo_kotoryikh_slozhno_proyti__bolshaya_podborka_interesnyikh_tovarov_14059467,"28 находок с AliExpress, мимо которых сложно пройти | Большая подборка интересных товаров",,ElfinSimon,2026-06-13T18:18:36+03:00,"Алиэкспресс распродажа,Гаджеты,AliExpress,Электроника,Китайские товары,Подборка,Покупки в интернете,Зарядное устройство,Бытовая техника,Распродажа,Товары для дома,Видео,Короткие видео,Вертикальное видео,Без звука,Длиннопост",search:брейнрот
14059466,https://pikabu.ru/story/kamyizyakskiy_tornado_14059466,Камызякский торнадо,,CATAHKA,2026-06-13T18:18:28+03:00,"Камызяк,Торнадо,Астраханская область,Азамат Мусагалиев,Видео,Вертикальное видео,Короткие видео",search:брейнрот
14059465,https://pikabu.ru/story/arkticheskie_tanki_karelskogo_fronta_kak_oleni_spasali_boytsov_v_zapolyare_14059465,Арктические «танки» Карельского фронта: как олени спасали бойцов в Заполярье,,NorthKarel,2026-06-13T18:18:21+03:00,"[моё],Великая Отечественная война,Военная история,Длиннопост,СССР,Олени,Солдаты,Вторая мировая война,Красная Армия,Подвиг",search:брейнрот
14059464,https://pikabu.ru/story/avito_yeto_prikol_14059464,"Авито, это прикол?",,Valevolver,2026-06-13T18:17:04+03:00,"[моё],Картинка с текстом,Юмор,Длиннопост",search:брейнрот
34,https://pikabu.ru/story/agronom_zhelezo_i_izvest_34_14059463,Агроном. Железо и Известь №34,,Alex.Coder,2026-06-13T18:16:40+03:00,"[моё],Русская фантастика,Литрпг,Отрывок из книги,Славянское фэнтези,Роман,Попаданцы,Текст,Длиннопост",search:брейнрот
14059462,https://pikabu.ru/story/laufey_14059462,Laufey,,Forgottenknight,2026-06-13T18:15:19+03:00,"18+,Anime Art,Аниме,God of War,Monorirogue,Крепкая девушка",search:брейнрот
14059460,https://pikabu.ru/story/every_night_in_my_dreams_i_see_you_i_feel_you_14059460,"Every night in my dreams I see you, I feel you...",,,2026-06-13T18:14:29+03:00,"[моё],Рисунок,Юмор,Авторский комикс,Монстр под кроватью,Титаник",search:имба
14059502,https://pikabu.ru/story/plyus_dve_loshadinyie_silyi_14059502,Плюс две лошадиные силы,,matey,2026-06-13T18:31:37+03:00,"Деревня,Лошади,Видео,Вертикальное видео,Короткие видео",search:а ниче тот факт
14059501,https://pikabu.ru/story/vecher_v_bare_14059501,Вечер в баре,,SecondHandCat,2026-06-13T18:30:13+03:00,"Мотоциклы,Пианино,Бар,Видео,Без звука,Вертикальное видео,Короткие видео",search:а ниче тот факт
14059499,https://pikabu.ru/story/klassika_vsegda_aktualna_14059499,Классика всегда актуальна,,Ganjazz,2026-06-13T18:30:00+03:00,"Волна постов,Мошенничество,Министерство обороны,Тушенка,Броненосец Потемкин,Видео",search:а ниче тот факт
36,https://pikabu.ru/story/agronom_zhelezo_i_izvest_36_14059498,Агроном. Железо и Известь №36,,Alex.Coder,2026-06-13T18:29:53+03:00,"[моё],Отрывок из книги,Роман,Литрпг,Русская фантастика,Попаданцы,Славянское фэнтези,Авторский мир,Текст,Длиннопост",search:а ниче тот факт
14059497,https://pikabu.ru/story/i_vsyo_lilsya_svetopad_na_gorod_14059497,И всё лился светопад на город,,,2026-06-13T18:29:41+03:00,"[моё],Проза,Лето,Белые ночи,Санкт-Петербург,Россия глазами иностранцев,Текст",search:а ниче тот факт
14059496,https://pikabu.ru/story/vrode_pravilnyiy_perevod_14059496,Вроде правильный перевод?,,Erklover,2026-06-13T18:29:17+03:00,"Зашакалено,Грустный юмор,Картинка с текстом",search:а ниче тот факт
14059495,https://pikabu.ru/story/ya_schastliva_kogda_poyu_14059495,"Я счастлива, когда пою",,Mio12,2026-06-13T18:29:15+03:00,"Аниме,Anime Art,Original Character,Seifuku,Девушки,Школьницы,Гитара",search:а ниче тот факт
14059493,https://pikabu.ru/story/van_gog_reanimatsiya_14059493,Ван Гог. Реанимация,,dlyarass,2026-06-13T18:28:53+03:00,"Из сети,Короткие видео,Вертикальное видео,Ван Гог,Реанимация,Видео",search:а ниче тот факт
2026,https://pikabu.ru/story/kakie_igryi_potyanet_2026_godu_radeon_rx_550_14059494,Какие игры потянет 2026 году Radeon RX 550,,gamepointer,2026-06-13T18:29:00+03:00,"Игры,RUTUBE,Видео",search:6 7 мем
14059500,https://pikabu.ru/story/poka_politiki_igrayut_v_voynu_rossiyskaya_neft_pechataet_dengi_14059500,"Пока политики играют в войну, российская нефть печатает деньги",,Anna.Budgetika,2026-06-13T18:30:00+03:00,"[моё],Политика,Экономика,Финансы,Текст,Длиннопост",search:delulu
2005,https://pikabu.ru/story/moya_byivshaya_nachalnitsa_galina_mikhaylovna_morgenshteyn_i_egor_letov_na_vstreche_v_omske_v_2005m_gode_14059428,Моя бывшая начальница Галина Михайловна Моргенштейн и Егор Летов на встрече в Омске в 2005м годе,,user11243938,2026-06-13T17:59:14+03:00,"Контент нейросетей,Мемы,Милота,Картинки,Юмор,Картинка с текстом,Длиннопост",tag:мемы
14059421,https://pikabu.ru/story/nu_tipa_glavnaya_novost_14059421,Ну типа главная новость,,user11243938,2026-06-13T17:52:13+03:00,"Контент нейросетей,Мемы,Картинки",tag:мемы
14059356,https://pikabu.ru/story/nakipelo_nazhzhuzhalo_14059356,Накипело (нажжужало),,ruskoleja,2026-06-13T17:20:06+03:00,"Комары,Мемы,Авиация,Сон,Лето",tag:мемы
14059344,https://pikabu.ru/story/chto_tam_s_nim_sobiralis_delat__14059344,Что там с ним собирались делать ?,,dallonballon93,2026-06-13T17:15:13+03:00,"[моё],Мемы,Юмор,Медицина,Черный юмор,Странный юмор,Каламбур,Троллинг,Видео,Вертикальное видео,Короткие видео",tag:мемы
14059322,https://pikabu.ru/story/art_kit_gameoverse_14059322,Арт (kit gameoverse),,Donaldsonsuba,2026-06-13T17:01:26+03:00,"Картинки,Мемы,Милота,Арт,Рисунок,Цифровой рисунок,Kit",tag:мемы
14059111,https://pikabu.ru/story/bukvalnost_14059111,Буквальность,,KomosarPsy,2026-06-13T15:37:06+03:00,"Мемы,Комментарии,Фоторедактор",tag:мемы
14059081,https://pikabu.ru/story/da_da_peremotay_menya_14059081,"Да, да, перемотай меня",9,dlyarass,2026-06-13T15:24:31+03:00,"Из сети,Мемы,Юмор,Аудиокассеты,Перемотка,Показалось",tag:мемы
14059044,https://pikabu.ru/story/yeto_nazyivaetsya_stabilnostkotik_14059044,"Это называется стабильность,котик",4,Gandbol,2026-06-13T15:07:00+03:00,"Юмор,Картинка с текстом,Мемы,Кот",tag:мемы
14058985,https://pikabu.ru/story/poka_kozhanyie_rabotayut_ya_kayfuyu_14058985,Пока кожаные работают я кайфую,12,MiniDream,2026-06-13T14:40:14+03:00,"[моё],Мемы,Милота,Юмор,Кот,Толстые котики,Мурчание,Длиннопост",tag:мемы
14058980,https://pikabu.ru/story/globalnoe_poteplenie_14058980,Глобальное потепление,14,White7Side,2026-06-13T14:38:37+03:00,"Картинки,Юмор,Девушки,Снеговик,Фотография,Грязь,Мемы,Показалось,Странный юмор,Каламбур",tag:мемы
14058956,https://pikabu.ru/story/memaseshnaya__cherepaseshnaya_14058956,Мемасешная — Черепасешная,74,Arefevazoia,2026-06-13T14:29:12+03:00,"Мемы,Юмор,Повтор,Видео,Вертикальное видео,Короткие видео,Черепаха",tag:мемы
14058891,https://pikabu.ru/story/khyellouinskiy_kostyum_strashnee_chem_kostyum_chuzhogo_i_dzheysona_vurkhiza_14058891,Хэллоуинский Костюм страшнее чем Костюм Чужого и Джейсона Вурхиза,4,DonnyDonovan,2026-06-13T14:03:49+03:00,"[моё],Мультсериалы,Картинки,Мемы,Спанч Боб",tag:мемы
14058847,https://pikabu.ru/story/vyikhodnyie_memchiki_14058847,Выходные мемчики,40,,2026-06-13T13:49:59+03:00,"[моё],Контент нейросетей,Warhammer 40k,Комиксы,Мемы",tag:мемы
14058829,https://pikabu.ru/story/mem_dlya_sverkhrazumov_14058829,Мем для Сверхразумов,,DonnyDonovan,2026-06-13T13:45:17+03:00,"[моё],Мемы,Картинки",tag:мемы
14058698,https://pikabu.ru/story/biznesmen_14058698,Бизнесмен,10,Gandbol,2026-06-13T13:04:00+03:00,"Картинка с текстом,Юмор,Мемы",tag:мемы
14058676,https://pikabu.ru/story/a_u_vas_v_shkole_est_urok_masmetariya_14058676,А у вас в школе есть урок масметария?,,user11895869,2026-06-13T12:59:33+03:00,"Мемы,Юмор,Видео,Вертикальное видео,Короткие видео",tag:мемы
14058652,https://pikabu.ru/story/kogda_tyi_byitovoy_invalid_14058652,Когда ты бытовой инвалид,2,Balzamo,2026-06-13T12:49:52+03:00,"Юмор,Картинка с текстом,Стирка,Повтор,Скриншот,Переписка,Кот,Мемы",tag:мемы
14058646,https://pikabu.ru/story/kogda_tyi_v_dushe_adeptus_mekhanikus_14058646,Когда ты в душе Адептус Механикусь,111,,2026-06-13T12:48:18+03:00,"[моё],Картинка с текстом,Мемы,Картинки,Юмор,Warhammer 40k,Комиксы,Wh humor",tag:мемы
14058635,https://pikabu.ru/story/moshchnyiy_muzhik_byil_14058635,Мощный мужик был,2866,oneterrikon,2026-06-13T12:45:23+03:00,"Политика,Мемы,Юмор,Лесли Нильсен,Повтор,Картинка с текстом",tag:мемы
14058617,https://pikabu.ru/story/vot_chto_budet_esli_skachat_yandeks_brauzer_na_samom_dele_14058617,Вот что будет если скачать яндекс браузер на самом деле,,user11895869,2026-06-13T12:39:29+03:00,"Мемы,Смех (реакция),Видео,Вертикальное видео,Короткие видео",tag:мемы
14058457,https://pikabu.ru/story/sovet2_14058457,Совет#2,0,Ru.New,2026-06-13T11:35:08+03:00,"Аниме,Мемы,Хэштег",tag:мемы
130626,https://pikabu.ru/story/nesmeshnyie_kartinki_i_bayanyi_vecher_130626_14058423,"НеСмешные картинки и баяны, вечер 13.06.26",760,sting21,2026-06-13T11:23:10+03:00,"Юмор,Картинка с текстом,Мемы,Зашакалено,Подборка,Черный юмор,Длиннопост",tag:мемы
14058369,https://pikabu.ru/story/idealnyie_vyikhodnyie_14058369,Идеальные выходные,5,Gandbol,2026-06-13T11:03:00+03:00,"Юмор,Картинка с текстом,Мемы",tag:мемы
14058350,https://pikabu.ru/story/poluchaetsya_povezlo_s_zhenoy_14058350,Получается повезло с женой?,,degtevy.family,2026-06-13T10:57:02+03:00,"[моё],Юмор,Милота,Мемы,Видео,Вертикальное видео,Короткие видео",tag:мемы
14059488,https://pikabu.ru/story/otvet_na_post_adam_kadyirov_stal_geroem_chechni_povtorno_14059488,Ответ на пост «Адам Кадыров стал Героем Чечни. Повторно»,,Josiah,2026-06-13T18:26:07+03:00,"Награда,Абсурд,Выпендрёж,Чечня,Этому городу нужен герой,Главный герой,Политика,Адам Кадыров,Юмор,Арты нейросетей,Ответ на пост",tag:юмор
14059476,https://pikabu.ru/story/vot_yeto_tryuk_14059476,Вот это трюк,,Mikigameplus,2026-06-13T18:21:53+03:00,"Юмор,Вертикальное видео,Короткие видео,Кот,Животные,Видео",tag:юмор
14059459,https://pikabu.ru/story/yeto_byilo_u_kazhdogo_v_detstve_14059459,Это было у каждого в детстве,,NashelNaMP,2026-06-13T18:14:00+03:00,"Вертикальное видео,Короткие видео,Полезное,Удобство,Юмор,Видео",tag:юмор
14059456,https://pikabu.ru/story/yeta_slovatskaya_detskaya_pesenka_voobshche_ne_pokhozha_na_detskuyu_14059456,Эта словацкая детская песенка вообще не похожа на детскую,,uraikin,2026-06-13T18:12:49+03:00,"Юмор,Песня,Видео,Вертикальное видео",tag:юмор
14059448,https://pikabu.ru/story/korobka_lyubimaya_14059448,Коробка любимая,,Sapientes,2026-06-13T18:05:55+03:00,"[моё],RUTUBE,Кот,Милота,Юмор,Видео,Короткие видео",tag:юмор
14059445,https://pikabu.ru/story/zamuzhem_teper_14059445,Замужем теперь...,,Ko.Rom,2026-06-13T18:04:53+03:00,"Контент нейросетей,Юмор,Жади,Гермиона,Сумерки (Фильм),RUTUBE,Видео",tag:юмор
14059444,https://pikabu.ru/story/kogda_bublik_ne_prosto_bublik_14059444,Когда бублик не просто бублик!),,Feltikiart,2026-06-13T18:04:25+03:00,"[моё],Рукоделие,Валяние,Искусственный интеллект,Ручная работа,Хобби,Настроение,Хорошее настроение,Юмор,Видео,Вертикальное видео,Короткие видео",tag:юмор
14059438,https://pikabu.ru/story/i_izyashchnyiy_14059438,И изящный!,,SOBAandCo,2026-06-13T18:02:00+03:00,"Кот,Юмор,Картинка с текстом",tag:юмор
14059437,https://pikabu.ru/story/budushchee_nastupilo_i_mechtyi_sbyilis_14059437,Будущее наступило и мечты сбылись?,,motopila,2026-06-13T18:01:53+03:00,"[моё],Юмор,Грустный юмор,Будущее наступило,Искусственный интеллект",tag:юмор
